val_BLEU_4,epoch,train_loss,val_BLEU_1,val_BLEU_2,val_BLEU_3,val_METEOR,val_ROUGE_L,test_BLEU_1,test_BLEU_2,test_BLEU_3,test_BLEU_4,test_METEOR,test_ROUGE_L,time,seed,best_model_from
0.0530982422905992,22.0,1.2094948625203257,0.2505274903207112,0.1346457993346957,0.0824224128126077,0.0923141370554374,0.2253976294519701,0.2431508265046014,0.1277780271387087,0.0769525383565053,0.0493404987213515,0.0946167892953609,0.212611497962148,Tue Dec 19 01:50:00 2023,9153.0,val
0.050382808010271,20.0,1.257266514094603,0.2360350698875772,0.1248084780697104,0.0772101002858938,0.0856858838471413,0.2144960517573957,0.2551114584620012,0.1341320287095922,0.0814206013311122,0.0528886856385179,0.0951351648390628,0.2073319942847801,Tue Dec 19 01:50:00 2023,9153.0,test
0.0498428050647471,21.0,1.240590695445352,0.2275209448426003,0.1230255997092636,0.0763938210643499,0.0859691105417081,0.2114166923636014,0.2377837517615393,0.1241107627422502,0.0738263100686302,0.0464453369627915,0.0906477496681045,0.2015310551157625,Tue Dec 19 06:12:47 2023,9153.0,val
0.0461122676885045,20.0,1.2548791389835154,0.2248473226790509,0.118488105958134,0.0720609671954952,0.0842088741129774,0.2039288782976255,0.2433341886868247,0.128657971204713,0.0772307179248795,0.049921619105651,0.0916849016887494,0.2029734791161136,Tue Dec 19 06:12:47 2023,9153.0,test
0.0553951907970678,21.0,1.2458269436162273,0.2488137983795008,0.1341610631782764,0.0840251680619795,0.0929820849189028,0.2250134311194599,0.241593616723924,0.1257842237266889,0.0743309054803885,0.0466276709661037,0.0906042905123454,0.2074506342587059,Wed Dec 20 02:56:56 2023,9153.0,val
0.0491555461640682,24.0,1.187462428257995,0.2356861759476247,0.1260099525021149,0.0767225704779206,0.0887704469441715,0.2159524252328646,0.2506177266114122,0.1321833300397565,0.0801397188692104,0.0514724959637229,0.0939230659175992,0.2089283738350574,Wed Dec 20 02:56:56 2023,9153.0,test
0.047001142950207,12.0,1.506561387294593,0.223539308059363,0.1195215129238775,0.0737000959481567,0.0847628763224365,0.2218812261554143,0.2058974703558606,0.1083212375476734,0.0658562817278983,0.0422013313417155,0.0834880986957269,0.202280082512557,Wed Dec 20 08:06:57 2023,9153.0,val
0.0459285030548811,20.0,1.2559751974385964,0.2256537348953492,0.1183839708987078,0.0716636971546231,0.0820733793990761,0.2035810065050651,0.2301150161701829,0.1208496452524409,0.0722713494906433,0.0461444717355337,0.0880931747020572,0.2002812191057076,Wed Dec 20 08:06:57 2023,9153.0,test
0.047001142950207,12.0,1.506561387294593,0.223539308059363,0.1195215129238775,0.0737000959481567,0.0847628763224365,0.2218812261554143,0.2058974703558606,0.1083212375476734,0.0658562817278983,0.0422013313417155,0.0834880986957269,0.202280082512557,Wed Dec 27 07:20:40 2023,9153.0,val
0.0459285030548811,20.0,1.2559751974385964,0.2256537348953492,0.1183839708987078,0.0716636971546231,0.0820733793990761,0.2035810065050651,0.2301150161701829,0.1208496452524409,0.0722713494906433,0.0461444717355337,0.0880931747020572,0.2002812191057076,Wed Dec 27 07:20:40 2023,9153.0,test
0.0629569794810967,6.0,1.9370620467977304,0.2620719975187209,0.145016624167146,0.0932238285785061,0.096308472585096,0.2278331397608314,0.2779084692498324,0.1509169821409439,0.094666855274453,0.0636524085471738,0.1026811127808383,0.2154973004445336,Thu Apr 11 03:01:02 2024,9153.0,val
0.0629569794810967,6.0,1.9370620467977304,0.2620719975187209,0.145016624167146,0.0932238285785061,0.096308472585096,0.2278331397608314,0.2779084692498324,0.1509169821409439,0.094666855274453,0.0636524085471738,0.1026811127808383,0.2154973004445336,Thu Apr 11 03:01:02 2024,9153.0,test
0.06430665526132022,25.0,1.4473950033625604,0.2341076704322704,0.1373391938117092,0.0918366675358096,0.09571676633098705,0.2394957877187637,0.2560533874059425,0.142726378436243,0.09167018247346347,0.06291184955663204,0.10129878730702693,0.22056362548440317,Thu Apr 11 14:15:00 2024,9153.0,val
0.06430665526132022,25.0,1.4473950033625604,0.2341076704322704,0.1373391938117092,0.0918366675358096,0.09571676633098705,0.2394957877187637,0.2560533874059425,0.142726378436243,0.09167018247346347,0.06291184955663204,0.10129878730702693,0.22056362548440317,Thu Apr 11 14:15:00 2024,9153.0,test
